"노선_ID","정류장_ID","링크_구간거리(m)","정류장_순서"
"241461015","232001137","351.000","17"
"241461015","232000857","193.000","3"
"241461015","232000856","203.000","19"
"241461015","232000855","123.000","2"
"241461015","232000854","177.000","20"
"241461015","232000853","0.000","1"
"241461015","232000852","230.000","4"
"241461015","232000843","397.000","14"
"241461015","232000842","92.000","7"
"241461015","232000841","149.000","6"
"241461015","232000569","118.000","15"
"241461015","232000433","1850.000","12"
"241461015","232000432","2060.000","13"
"241461015","232000356","534.000","8"
"241461015","232000355","1930.000","9"
"241461015","232000295","127.000","16"
"241461015","232000294","346.000","5"
"241461015","232000291","164.000","18"
"241461015","115000321","156.000","11"
"241461015","115000320","1840.000","10"
"241461005","232001046","170.000","2"
"241461005","232000909","163.000","3"
"241461005","232000908","1655.000","14"
"241461005","232000907","3784.000","11"
"241461005","232000906","243.000","13"
"241461005","232000905","129.000","4"
"241461005","232000904","1576.000","5"
"241461005","232000903","269.000","6"
"241461005","232000902","240.000","8"
"241461005","232000886","406.000","12"
"241461005","232000885","132.000","7"
"241461005","232000703","253.000","15"
"241461005","232000703","0.000","1"
"241461005","115000321","156.000","10"
"241461005","115000320","2192.000","9"
"241461002","232001137","351.000","21"
"241461002","232001046","685.000","28"
"241461002","232000962","447.000","2"
"241461002","232000948","361.000","27"
"241461002","232000920","1027.000","4"
"241461002","232000857","193.000","7"
"241461002","232000856","203.000","23"
"241461002","232000855","123.000","6"
"241461002","232000854","177.000","24"
"241461002","232000853","1252.000","5"
"241461002","232000852","230.000","8"
"241461002","232000851","978.000","26"
"241461002","232000850","353.000","3"
"241461002","232000843","397.000","18"
"241461002","232000842","92.000","11"
"241461002","232000841","149.000","10"
"241461002","232000703","304.000","29"
"241461002","232000703","0.000","1"
"241461002","232000569","118.000","19"
"241461002","232000433","1850.000","16"
"241461002","232000432","2060.000","17"
"241461002","232000356","534.000","12"
"241461002","232000355","1930.000","13"
"241461002","232000339","1275.000","25"
"241461002","232000295","127.000","20"
"241461002","232000294","346.000","9"
"241461002","232000291","164.000","22"
"241461002","115000321","156.000","15"
"241461002","115000320","1840.000","14"
"241457013","235001218","200.000","41"
"241457013","235001117","260.000","53"
"241457013","235001116","430.000","25"
"241457013","235001115","190.000","52"
"241457013","235001114","250.000","26"
"241457013","235001113","280.000","51"
"241457013","235001112","290.000","27"
"241457013","235001111","354.000","50"
"241457013","235001110","291.000","28"
"241457013","235001109","360.000","49"
"241457013","235001108","390.000","29"
"241457013","235001107","280.000","48"
"241457013","235001106","260.000","30"
"241457013","235001105","489.000","47"
"241457013","235001102","517.000","31"
"241457013","235001101","300.000","46"
"241457013","235001100","310.000","32"
"241457013","235001099","440.000","45"
"241457013","235001098","420.000","33"
"241457013","235001097","240.000","44"
"241457013","235001096","250.000","34"
"241457013","235001095","1550.000","43"
"241457013","235001094","870.000","35"
"241457013","235001092","710.000","36"
"241457013","235001091","290.000","42"
"241457013","235001090","440.000","37"
"241457013","235001089","170.000","40"
"241457013","235001088","240.000","38"
"241457013","235001087","678.000","39"
"241457013","235001060","340.000","20"
"241457013","235001059","600.000","58"
"241457013","235000350","280.000","55"
"241457013","235000349","530.000","56"
"241457013","235000348","460.000","57"
"241457013","235000347","340.000","59"
"241457013","235000346","320.000","60"
"241457013","235000345","390.000","61"
"241457013","235000343","1138.000","62"
"241457013","235000342","770.000","63"
"241457013","235000341","590.000","64"
"241457013","235000340","680.000","12"
"241457013","235000339","680.000","13"
"241457013","235000338","630.000","14"
"241457013","235000337","540.000","15"
"241457013","235000336","580.000","16"
