호선,역번호,역명,lat,lng,match_method
1호선,150,서울역,37.55585,126.972103,official_KRIC_20260630_name_match
1호선,151,시청,37.565211,126.977207,official_KRIC_20260630_name_match
1호선,152,종각,37.570203,126.983116,official_KRIC_20260630_name_match
1호선,153,종로3가,37.570429,126.992095,official_KRIC_20260630_name_match
1호선,154,종로5가,37.570971,127.0019,official_KRIC_20260630_name_match
1호선,155,동대문,37.571646,127.01069,official_KRIC_20260630_name_match
1호선,156,신설동,37.576117,127.02471,official_KRIC_20260630_name_match
1호선,157,제기동,37.578116,127.034902,official_KRIC_20260630_name_match
1호선,158,청량리,37.580148,127.045063,official_KRIC_20260630_name_match
1호선,159,동묘앞,37.573265,127.016459,official_KRIC_20260630_name_match
2호선,201,시청,37.563534,126.975271,official_KRIC_20260630_name_match
2호선,202,을지로입구,37.565998,126.982569,official_KRIC_20260630_name_match
2호선,203,을지로3가,37.566292,126.990873,official_KRIC_20260630_name_match
2호선,204,을지로4가,37.566611,126.997622,official_KRIC_20260630_name_match
2호선,205,동대문역사문화공원,37.565609,127.009083,official_KRIC_20260630_name_match
2호선,206,신당,37.565675,127.0194259,official_KRIC_20260630_name_match
2호선,207,상왕십리,37.564444,127.029322,official_KRIC_20260630_name_match
2호선,208,왕십리,37.561289,127.0370615,official_KRIC_20260630_name_match
2호선,209,한양대,37.555758,127.0436594,official_KRIC_20260630_name_match
2호선,210,뚝섬,37.54718,127.047413,official_KRIC_20260630_name_match
2호선,211,성수,37.544628,127.055983,official_KRIC_20260630_name_match
2호선,212,건대입구,37.540408,127.069231,official_KRIC_20260630_name_match
2호선,213,구의,37.537157,127.0862124,official_KRIC_20260630_name_match
2호선,214,강변,37.535161,127.094684,official_KRIC_20260630_name_match
2호선,215,잠실나루,37.520688,127.103836,official_KRIC_20260630_name_match
2호선,216,잠실,37.513305,127.100129,official_KRIC_20260630_name_match
2호선,217,잠실새내,37.511653,127.086224,official_KRIC_20260630_name_match
2호선,218,종합운동장,37.511128,127.073841,official_KRIC_20260630_name_match
2호선,219,삼성,37.508827,127.063203,official_KRIC_20260630_name_match
2호선,220,선릉,37.504257,127.048174,official_KRIC_20260630_name_match
2호선,221,역삼,37.500658,127.03643,official_KRIC_20260630_name_match
2호선,222,강남,37.49805,127.02795,official_KRIC_20260630_name_match
2호선,223,교대,37.493957,127.014431,official_KRIC_20260630_name_match
2호선,224,서초,37.49191,127.007685,official_KRIC_20260630_name_match
2호선,225,방배,37.481469,126.997627,official_KRIC_20260630_name_match
2호선,226,사당,37.476536,126.981631,official_KRIC_20260630_name_match
2호선,227,낙성대,37.47713,126.963583,official_KRIC_20260630_name_match
2호선,228,서울대입구,37.481233,126.952745,official_KRIC_20260630_name_match
2호선,229,봉천,37.482416,126.941696,official_KRIC_20260630_name_match
2호선,230,신림,37.484216,126.929573,official_KRIC_20260630_name_match
2호선,231,신대방,37.487604,126.913479,official_KRIC_20260630_name_match
2호선,232,구로디지털단지,37.4852931,126.901456,official_KRIC_20260630_name_match
2호선,233,대림,37.4932826,126.8949793,official_KRIC_20260630_name_match
2호선,234,신도림,37.508815,126.891222,official_KRIC_20260630_name_match
2호선,235,문래,37.517993,126.894766,official_KRIC_20260630_name_match
2호선,236,영등포구청,37.525766,126.896627,official_KRIC_20260630_name_match
2호선,237,당산,37.534807,126.902611,official_KRIC_20260630_name_match
2호선,238,합정,37.550025,126.914557,official_KRIC_20260630_name_match
2호선,239,홍대입구,37.556748,126.923643,official_KRIC_20260630_name_match
2호선,240,신촌(지하),37.555153,126.93689,official_KRIC_20260630_name_match
2호선,241,이대,37.556734,126.945897,official_KRIC_20260630_name_match
2호선,242,아현,37.557407,126.956079,official_KRIC_20260630_name_match
2호선,243,충정로,37.559742,126.964455,official_KRIC_20260630_name_match
2호선,244,용답,37.562066,127.05087863,official_KRIC_20260630_name_match
2호선,245,신답,37.569847,127.047048,official_KRIC_20260630_name_match
2호선,246,신설동,37.574653,127.025158,official_KRIC_20260630_name_match
2호선,247,도림천,37.5145589,126.882586,official_KRIC_20260630_name_match
2호선,248,양천구청,37.5123294,126.865593,official_KRIC_20260630_name_match
2호선,249,신정네거리,37.520218,126.852849,official_KRIC_20260630_name_match
2호선,250,용두,37.574012,127.03811,official_KRIC_20260630_name_match
3호선,309,지축,37.648151,126.913751,official_KRIC_20260630_name_match
3호선,310,구파발,37.636612,126.918827,official_KRIC_20260630_name_match
3호선,311,연신내,37.619295,126.920959,official_KRIC_20260630_name_match
3호선,312,불광,37.610154,126.930183,official_KRIC_20260630_name_match
3호선,313,녹번,37.600882,126.935758,official_KRIC_20260630_name_match
3호선,314,홍제,37.588851,126.944092,official_KRIC_20260630_name_match
3호선,315,무악재,37.582658,126.950131,official_KRIC_20260630_name_match
3호선,316,독립문,37.574534,126.957902,official_KRIC_20260630_name_match
3호선,317,경복궁,37.575844,126.973576,official_KRIC_20260630_name_match
3호선,318,안국,37.576562,126.98547,official_KRIC_20260630_name_match
3호선,319,종로3가,37.571537,126.991837,official_KRIC_20260630_name_match
3호선,320,을지로3가,37.566299,126.992616,official_KRIC_20260630_name_match
3호선,322,동대입구,37.55906,127.005273,official_KRIC_20260630_name_match
3호선,323,약수,37.554554,127.010858,official_KRIC_20260630_name_match
3호선,324,금호,37.548269,127.015785,official_KRIC_20260630_name_match
3호선,325,옥수,37.541653,127.017303,official_KRIC_20260630_name_match
3호선,326,압구정,37.526169,127.028502,official_KRIC_20260630_name_match
3호선,327,신사,37.516438,127.020247,official_KRIC_20260630_name_match
3호선,328,잠원,37.512989,127.011613,official_KRIC_20260630_name_match
3호선,329,고속터미널,37.504953,127.004916,official_KRIC_20260630_name_match
3호선,330,교대,37.49306,127.013796,official_KRIC_20260630_name_match
3호선,331,남부터미널,37.48494,127.016289,official_KRIC_20260630_name_match
3호선,332,양재,37.48458,127.03423,official_KRIC_20260630_name_match
3호선,333,매봉,37.487114,127.046907,official_KRIC_20260630_name_match
3호선,334,도곡,37.491129,127.055694,official_KRIC_20260630_name_match
3호선,335,대치,37.494601,127.063449,official_KRIC_20260630_name_match
3호선,336,학여울,37.496787,127.0708601,official_KRIC_20260630_name_match
3호선,337,대청,37.493607,127.079526,official_KRIC_20260630_name_match
3호선,338,일원,37.48389,127.08416,official_KRIC_20260630_name_match
3호선,339,수서,37.4875,127.101924,official_KRIC_20260630_name_match
3호선,340,가락시장,37.492318,127.1177,official_KRIC_20260630_name_match
3호선,341,경찰병원,37.495754,127.124198,official_KRIC_20260630_name_match
3호선,342,오금,37.502288,127.128344,official_KRIC_20260630_name_match
4호선,409,불암산,37.67009,127.079004,official_KRIC_20260630_name_match
4호선,410,상계,37.660576,127.073199,official_KRIC_20260630_name_match
4호선,411,노원,37.656274,127.063183,official_KRIC_20260630_name_match
4호선,412,창동,37.653315,127.048304,official_KRIC_20260630_name_match
4호선,413,쌍문,37.648274,127.034381,official_KRIC_20260630_name_match
4호선,414,수유,37.637727,127.025371,official_KRIC_20260630_name_match
4호선,415,미아,37.626435,127.026151,official_KRIC_20260630_name_match
4호선,416,미아사거리,37.613276,127.030083,official_KRIC_20260630_name_match
4호선,417,길음,37.603387,127.025053,official_KRIC_20260630_name_match
4호선,418,성신여대입구,37.592882,127.016908,official_KRIC_20260630_name_match
4호선,419,한성대입구,37.58838,127.005951,official_KRIC_20260630_name_match
4호선,420,혜화,37.582116,127.001929,official_KRIC_20260630_name_match
4호선,421,동대문,37.57099,127.00925,official_KRIC_20260630_name_match
4호선,422,동대문역사문화공원,37.565141,127.007808,official_KRIC_20260630_name_match
4호선,423,충무로,37.561352,126.994573,official_KRIC_20260630_name_match
4호선,424,명동,37.560955,126.986271,official_KRIC_20260630_name_match
4호선,425,회현,37.558698,126.978346,official_KRIC_20260630_name_match
4호선,426,서울역,37.553172,126.972706,official_KRIC_20260630_name_match
4호선,427,숙대입구,37.5447834,126.9721,official_KRIC_20260630_name_match
4호선,428,삼각지,37.534457,126.972992,official_KRIC_20260630_name_match
4호선,429,신용산,37.52909,126.96788,official_KRIC_20260630_name_match
4호선,430,이촌,37.52919,126.9679818,official_KRIC_20260630_name_match
4호선,431,동작,37.503567,126.980171,official_KRIC_20260630_name_match
4호선,432,총신대입구,37.487521,126.982309,official_KRIC_20260630_name_match
4호선,433,사당,37.476263,126.981636,official_KRIC_20260630_name_match
4호선,434,남태령,37.464339,126.989081,official_KRIC_20260630_name_match
5호선,2511,방화,37.577669,126.812822,official_KRIC_20260630_name_match
5호선,2512,개화산,37.572458,126.806838,official_KRIC_20260630_name_match
5호선,2513,김포공항,37.56217,126.801273,official_KRIC_20260630_name_match
5호선,2514,송정,37.561201,126.812052,official_KRIC_20260630_name_match
5호선,2515,마곡,37.55865,126.837693,official_KRIC_20260630_name_match
5호선,2516,발산,37.558692,126.837633,official_KRIC_20260630_name_match
5호선,2517,우장산,37.548864,126.83633,official_KRIC_20260630_name_match
5호선,2518,화곡,37.541585,126.840436,official_KRIC_20260630_name_match
5호선,2519,까치산,37.5322,126.84645,official_KRIC_20260630_name_match
5호선,2520,신정,37.525001,126.856176,official_KRIC_20260630_name_match
5호선,2521,목동,37.526088,126.864296,official_KRIC_20260630_name_match
5호선,2522,오목교,37.524557,126.875049,official_KRIC_20260630_name_match
5호선,2523,양평,37.525614,126.886177,official_KRIC_20260630_name_match
5호선,2524,영등포구청,37.524209,126.895022,official_KRIC_20260630_name_match
5호선,2525,영등포시장,37.52276,126.905143,official_KRIC_20260630_name_match
5호선,2526,신길,37.51763,126.914886,official_KRIC_20260630_name_match
5호선,2527,여의도,37.521678,126.924318,official_KRIC_20260630_name_match
5호선,2528,여의나루,37.527045,126.932807,official_KRIC_20260630_name_match
5호선,2529,마포,37.539718,126.946043,official_KRIC_20260630_name_match
5호선,2530,공덕,37.544005,126.951058,official_KRIC_20260630_name_match
5호선,2531,애오개,37.553592,126.956733,official_KRIC_20260630_name_match
5호선,2532,충정로,37.560061,126.962783,official_KRIC_20260630_name_match
5호선,2533,서대문,37.565812,126.966639,official_KRIC_20260630_name_match
5호선,2534,광화문,37.571645,126.976568,official_KRIC_20260630_name_match
5호선,2535,종로3가,37.572546,126.990447,official_KRIC_20260630_name_match
5호선,2536,을지로4가,37.56728,126.998127,official_KRIC_20260630_name_match
5호선,2537,동대문역사문화공원,37.564682,127.00533,official_KRIC_20260630_name_match
5호선,2538,청구,37.560237,127.01379,official_KRIC_20260630_name_match
5호선,2539,신금호,37.554504,127.020403,official_KRIC_20260630_name_match
5호선,2540,행당,37.557297,127.029482,official_KRIC_20260630_name_match
5호선,2541,왕십리,37.56197,127.037264,official_KRIC_20260630_name_match
5호선,2542,마장,37.566066,127.042921,official_KRIC_20260630_name_match
5호선,2543,답십리,37.566833,127.05266,official_KRIC_20260630_name_match
5호선,2544,장한평,37.561438,127.064601,official_KRIC_20260630_name_match
5호선,2545,군자,37.557102,127.079559,official_KRIC_20260630_name_match
5호선,2546,아차산,37.552005,127.089609,official_KRIC_20260630_name_match
5호선,2547,광나루,37.545301,127.103478,official_KRIC_20260630_name_match
5호선,2548,천호,37.538566,127.123539,official_KRIC_20260630_name_match
5호선,2549,강동,37.53581,127.13249,official_KRIC_20260630_name_match
5호선,2550,길동,37.538022,127.140085,official_KRIC_20260630_name_match
5호선,2551,굽은다리,37.545442,127.142844,official_KRIC_20260630_name_match
5호선,2552,명일,37.551317,127.144002,official_KRIC_20260630_name_match
5호선,2553,고덕,37.555002,127.154214,official_KRIC_20260630_name_match
5호선,2554,상일동,37.556714,127.166381,official_KRIC_20260630_name_match
5호선,2555,둔촌동,37.527787,127.136219,official_KRIC_20260630_name_match
5호선,2556,올림픽공원(한국체대),37.516217,127.130957,official_KRIC_20260630_name_match
5호선,2557,방이,37.508752,127.126054,official_KRIC_20260630_name_match
5호선,2558,오금,37.502228,127.127701,official_KRIC_20260630_name_match
5호선,2559,개롱,37.498097,127.134817,official_KRIC_20260630_name_match
5호선,2560,거여,37.493208,127.143983,official_KRIC_20260630_name_match
5호선,2561,마천,37.494972,127.152784,official_KRIC_20260630_name_match
5호선,2562,강일,37.557521,127.176018,official_KRIC_20260630_name_match
5호선,2563,미사,37.56309,127.192954,official_KRIC_20260630_name_match
5호선,2564,하남풍산,37.552201,127.203897,official_KRIC_20260630_name_match
5호선,2565,하남시청,37.541723,127.206901,official_KRIC_20260630_name_match
5호선,2566,하남검단산,37.539729,127.223427,official_KRIC_20260630_name_match
6호선,2611,응암,37.59859,126.915583,official_KRIC_20260630_name_match
6호선,2617,새절,37.591148,126.913613,official_KRIC_20260630_name_match
6호선,2618,증산,37.583989,126.909785,official_KRIC_20260630_name_match
6호선,2619,디지털미디어시티,37.5760805,126.901343,official_KRIC_20260630_name_match
6호선,2620,월드컵경기장,37.569439,126.899077,official_KRIC_20260630_name_match
6호선,2621,마포구청,37.563529,126.903356,official_KRIC_20260630_name_match
6호선,2622,망원,37.556031,126.910129,official_KRIC_20260630_name_match
6호선,2623,합정,37.549033,126.913546,official_KRIC_20260630_name_match
6호선,2624,상수,37.547704,126.92292,official_KRIC_20260630_name_match
6호선,2625,광흥창,37.547464,126.931971,official_KRIC_20260630_name_match
6호선,2626,대흥,37.547732,126.942214,official_KRIC_20260630_name_match
